               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.058296,             0.09648,            0.026799,             0.94125,               0.826,             0.87517,              0.6928,            0.047268,            0.069865,            0.020448,           0.0095694,           0.0095694,           0.0095694
                  89,            0.058171,            0.096701,            0.026738,             0.94143,              0.8261,             0.87526,             0.69306,            0.047256,             0.06982,            0.020445,           0.0095644,           0.0095644,           0.0095644
                  90,             0.05818,            0.096831,            0.026774,             0.94164,             0.82621,             0.87535,             0.69335,            0.047244,              0.0698,            0.020442,           0.0095595,           0.0095595,           0.0095595
                  91,            0.057991,            0.096021,            0.026662,             0.94147,             0.82635,             0.87542,             0.69354,            0.047234,            0.069784,            0.020438,           0.0095545,           0.0095545,           0.0095545
                  92,            0.058162,            0.096867,            0.026605,             0.94165,             0.82643,             0.87549,             0.69383,            0.047225,             0.06976,            0.020435,           0.0095496,           0.0095496,           0.0095496
                  93,            0.058242,            0.096123,            0.026773,             0.94173,             0.82652,             0.87557,             0.69413,            0.047215,            0.069723,            0.020433,           0.0095446,           0.0095446,           0.0095446
                  94,            0.057854,            0.095533,             0.02654,             0.94176,              0.8265,             0.87564,             0.69435,            0.047206,            0.069681,            0.020429,           0.0095397,           0.0095397,           0.0095397
                  95,            0.058166,            0.096801,             0.02675,             0.94178,             0.82656,             0.87567,             0.69455,            0.047196,            0.069646,            0.020426,           0.0095347,           0.0095347,           0.0095347
                  96,            0.058059,            0.096536,            0.026772,             0.94166,             0.82668,             0.87575,             0.69477,            0.047186,            0.069622,            0.020423,           0.0095298,           0.0095298,           0.0095298
                  97,            0.058211,            0.096952,            0.026891,             0.94182,             0.82668,             0.87577,             0.69499,            0.047178,            0.069591,            0.020419,           0.0095248,           0.0095248,           0.0095248
                  98,            0.058126,            0.097171,            0.026782,             0.94184,             0.82664,             0.87583,             0.69516,            0.047172,            0.069559,            0.020416,           0.0095198,           0.0095198,           0.0095198
                  99,            0.058089,            0.096388,            0.026695,             0.94247,             0.82632,             0.87585,              0.6954,            0.047167,            0.069536,            0.020414,           0.0095149,           0.0095149,           0.0095149
                 100,            0.058053,            0.096642,            0.026759,             0.94184,             0.82679,             0.87593,              0.6955,            0.047161,            0.069521,             0.02041,             0.00951,             0.00951,             0.00951
                 101,            0.057775,            0.095995,            0.026613,             0.94179,             0.82678,             0.87594,             0.69574,            0.047151,            0.069489,            0.020406,            0.009505,            0.009505,            0.009505
                 102,            0.058082,            0.096586,            0.026626,              0.9417,              0.8267,             0.87599,             0.69607,            0.047142,            0.069456,            0.020404,              0.0095,              0.0095,              0.0095
                 103,            0.057887,            0.095764,            0.026615,             0.94206,             0.82668,             0.87603,             0.69629,            0.047133,             0.06943,              0.0204,           0.0094951,           0.0094951,           0.0094951
                 104,            0.057908,            0.096023,            0.026598,             0.94228,             0.82664,             0.87608,             0.69654,            0.047125,            0.069426,            0.020398,           0.0094902,           0.0094902,           0.0094902
                 105,            0.057811,            0.095907,            0.026564,             0.94254,             0.82656,             0.87609,             0.69687,            0.047116,            0.069409,            0.020395,           0.0094852,           0.0094852,           0.0094852
                 106,            0.057984,            0.096144,            0.026644,             0.94278,              0.8265,             0.87612,             0.69706,            0.047105,            0.069383,            0.020392,           0.0094803,           0.0094803,           0.0094803
                 107,             0.05784,            0.096055,            0.026593,             0.94235,             0.82676,             0.87618,             0.69728,            0.047096,            0.069344,            0.020389,           0.0094753,           0.0094753,           0.0094753
                 108,            0.057661,            0.095358,            0.026458,             0.94273,              0.8267,             0.87621,             0.69761,            0.047086,            0.069302,            0.020387,           0.0094704,           0.0094704,           0.0094704
                 109,            0.057643,            0.094989,            0.026428,             0.94243,             0.82689,              0.8763,              0.6979,            0.047077,            0.069285,            0.020383,           0.0094654,           0.0094654,           0.0094654
                 110,            0.057583,            0.094933,            0.026484,             0.94279,             0.82674,             0.87624,             0.69823,            0.047068,            0.069253,             0.02038,           0.0094605,           0.0094605,           0.0094605
                 111,            0.057665,            0.095106,            0.026537,              0.9432,             0.82662,             0.87629,             0.69842,            0.047061,             0.06923,            0.020378,           0.0094555,           0.0094555,           0.0094555
                 112,            0.057471,            0.094388,            0.026461,              0.9424,             0.82702,             0.87635,             0.69866,            0.047052,            0.069211,            0.020375,           0.0094506,           0.0094506,           0.0094506
                 113,            0.057578,            0.095494,            0.026484,             0.94252,             0.82709,             0.87637,             0.69889,            0.047042,            0.069177,            0.020371,           0.0094456,           0.0094456,           0.0094456
